card_no,term,definition,sg_chapter,sg_chapter_title,domain,domain_title,confidence,placed_in,reason
290,What are the concepts of memory addressing?,"Means of memory addressing include register addressing, immediate addressing, direct addressing, indirect addressing, and base+offset addressing.",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,"Memory addressing concepts, architecture"
291,"What are the differences among copyrights, trademarks, patents, and trade secrets?","Copyrights protect original works of authorship, such as books, articles, poems, and songs. Trademarks are names, slogans, and logos that identify a company, product, or service. Patents provide protection to the creators of new inventions. Trade secret law protects the operating secrets of a firm.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Copyright trademark patent trade secret
292,"What are the differences between criminal law, civil law, and administrative law?",Criminal law protects society against acts that violate the basic principles we believe in. Violations of criminal law are prosecuted by federal and state governments. Civil law provides the framework for the transaction of business between people and organizations. Violations of civil law are brought to the court and argued by the two affected parties. Administrative law is used by government agencies to effectively carry out their day‐to‐day business.,4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Criminal civil administrative law
293,What are the differences between HIDSs and NIDSs?,"Host‐based IDSs (HIDSs) can monitor activity on a single system only. A drawback is that attackers can discover and deactivate them. A network‐based IDS (NIDS) can monitor activity on a network, and an NIDS isn't as visible to attackers.",17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,"HIDS vs NIDS, detection measures"
294,What are the differences between knowledge‐based and behavior‐based detection methods used by IDS?,Knowledge‐based uses a signature database and tries to match monitored events to that database. Behavior‐based learns about the normal activities on your system through watching and learning.,17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,Knowledge vs behavior IDS detection
295,What are the differences between symmetric and asymmetric cryptosystems?,"Symmetric key cryptosystems (or secret key cryptosystems) rely on the use of a shared secret key. They are much faster than asymmetric algorithms, but they lack support for scalability, easy key distribution, and nonrepudiation. Asymmetric cryptosystems use public‐private key pairs for communication between parties but operate much more slowly than symmetric algorithms.",6,Cryptography and Symmetric Key Algorithms,D3,Security Architecture and Engineering,MEDIUM,Ch 6,Symmetric vs asymmetric cryptosystems
296,What are the disadvantages of security guards?,"Not all environments support them; prescreening, bonding, and training is not always effective; they are expensive, subject to illness, take vacations, and are vulnerable to social engineering.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,"Security guards disadvantages, physical"
297,What are the electrical terms and definitions you should be aware of?,"Fault, blackout, sag, brownout, spike, surge, inrush, noise, clean, ground",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,"Electrical terms, power physical"
298,What are the elements of a termination procedure policy?,"Have at least one witness; escort terminated employee off the premises immediately; collect identification, access, or security devices; perform exit interview; deactivate network account",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,"Termination procedure policy, personnel"
299,What are the five elements of an AAA service?,"Identification, authentication, authorization, auditing, and accounting",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,AAA service five elements
300,What are the five steps of the business impact assessment process?,"Identification of priorities, risk identification, likelihood assessment, impact assessment, and resource prioritization",3,Business Continuity Planning,D1,Security and Risk Management,HIGH,Ch 3,Business impact assessment steps
301,What are the five types of disaster recovery plan tests and the impact each has on normal business operations?,"Read‐through tests, structured walk‐throughs, simulation tests, parallel tests, and full‐interruption tests. Checklist tests are purely paperwork exercises, whereas structured walk‐throughs involve a project team meeting. Neither has an impact on business operations. Simulation tests may shut down noncritical business units. Parallel tests involve relocating personnel but do not affect day‐to‐day operations. Full‐interruption tests involve shutting down primary systems and shifting responsibility to the recovery facility.",18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,DR plan test types
302,What are the four components covered by assessments under NIST 800‐53A?,"Specifications, mechanisms, activities, and individuals",15,Security Assessment and Testing,D6,Security Assessment and Testing,MEDIUM,Ch 15,NIST 800-53A assessment components
303,What are the four components of IPSec?,"Authentication Header (AH), Encapsulating Security Payload (ESP), IP Payload Compression protocol (IPComp), and Internet Key Exchange (IKE)",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,"IPSec components, crypto application"
304,What are the four steps of the business continuity planning process?,"Business continuity planning involves four distinct phases: project scope and planning, business impact analysis, continuity planning, and approval and implementation. Each task contributes to the overall goal of ensuring that business operations continue uninterrupted in the face of an emergency.",3,Business Continuity Planning,D1,Security and Risk Management,HIGH,Ch 3,Business continuity planning phases
305,What are the four TCP header flags that are used in virtual circuit setup and teardown?,"SYN, ACK, FIN, and RES (or RST)",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,"TCP header flags, transport layer"
306,What are the four types of water‐based fire suppression systems?,"Wet pipe system, dry pipe system, deluge system, preaction system",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,Water-based fire suppression systems
307,What are the functions of an intrusion detection system (IDS)?,"An IDS automates the inspection of audit logs and real‐time system events, detects intrusion attempts, and watches for violations of confidentiality, integrity, and availability.",17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,"IDS functions, detection measures"
308,What are the functions of SAMM?,"The Software Assurance Maturity Model (SAMM) is an open source project with five business functions: Governance, Design, Implementation, Verification, and Operations.",20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,"SAMM maturity model, software dev"
309,What are the fundamental requirements of a hash function?,"Good hash functions have five requirements. They must allow input of any length, provide fixed‐length output, make it relatively easy to compute the hash function for any input, provide one‐way functionality, and be collision‐resistant.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Hash function requirements
310,What are the goals of change management?,"Implementation of changes in an orderly manner, formalized testing, ability to reverse changes, ability to inform users of changes, systematical analysis of changes, minimization of negative impact of changes",16,Managing Security Operations,D7,Security Operations,HIGH,Ch 16,Change management goals
311,What are the goals of managing backup media?,"Preventing disclosure, destruction, and alteration of data",5,Protecting Security of Assets,D2,Asset Security,MEDIUM,Ch 5,Backup media management goals
312,What are the hashing algorithms in primary use today?,"The successors to the Secure Hash Algorithm (SHA), SHA‐2 and SHA‐3, make up the government standard message digest function. SHA‐2 supports variable‐length message digests, ranging up to 512 bits. SHA‐3 improves upon the security of SHA‐2 and supports the same hash lengths.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Hashing algorithms SHA
313,What are the important elements of change and configuration management?,"The three basic components of change control are request control, change control, and release control.",16,Managing Security Operations,D7,Security Operations,HIGH,Ch 16,Change configuration management elements
314,What are the important factors in personnel management?,"Hiring practices, ongoing job performance reviews, and termination procedures",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Personnel management factors
315,What are the issues related to user acceptance of biometric enrollment and throughput rate?,Enrollment times longer than 2 minutes are unacceptable; subjects will typically accept a throughput rate of about 6 seconds or faster.,13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,Biometric enrollment throughput
316,What are the key concepts of the attribute‐based access control (ABAC) model?,"An ABAC model is an advanced implementation of a rule‐based access control model, applying rules based on attributes. Software‐defined networks (SDNs) often use an ABAC model.",14,Controlling and Monitoring Access,D5,Identity and Access Management,HIGH,Ch 14,ABAC access control model
317,What are the key concepts of the discretionary access control (DAC) model?,"With the DAC model, all objects have owners, and the owners can modify permissions. Each object has an access control list defining permissions, such as read and modify for files. All other models are nondiscretionary models, and administrators centrally manage nondiscretionary controls.",14,Controlling and Monitoring Access,D5,Identity and Access Management,HIGH,Ch 14,DAC access control model
318,What are the key concepts of the risk‐based access control model?,"A risk‐based access control model evaluates the environment and the situation, and makes decisions based on software‐based security policies. It can control access based on multiple factors such as a user's location, determined by IP addresses, whether the user has logged on with multifactor authentication, and the user's device. Advanced implementations can use machine learning to evaluate risk.",14,Controlling and Monitoring Access,D5,Identity and Access Management,HIGH,Ch 14,Risk-based access control model
319,What are the key concepts of the role‐based access control (RBAC) model?,"RBAC models use task‐based roles, and users gain privileges when administrators place their accounts into a role or group. Taking a user out of a role removes the permissions granted through the role membership.",14,Controlling and Monitoring Access,D5,Identity and Access Management,HIGH,Ch 14,RBAC access control model
320,What are the key concepts of the rule‐based access control model?,"Rule‐based access control models use a set of rules, restrictions, or filters to determine access. A firewall's access control list includes a list of rules that define what access is allowed and access is blocked.",14,Controlling and Monitoring Access,D5,Identity and Access Management,HIGH,Ch 14,Rule-based access control model
321,What are the key elements of risk analysis?,"Risk analysis is the process by which upper management is provided with details to make decisions about which risks are to be mitigated, which should be transferred, and which should be accepted. To fully evaluate risks and subsequently take the proper precautions, you must analyze the following: assets, asset valuation, threats, vulnerability, exposure, risk, realized risk, safeguards, countermeasures, attacks, and breaches.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Risk analysis key elements
322,What are the key types used in asymmetric cryptography?,"Public keys are freely shared among communicating parties, whereas private keys are kept secret. To encrypt a message, use the recipient's public key. To decrypt a message, use your own private key. To sign a message, use your own private key. To validate a signature, use the sender's public key.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Asymmetric cryptography key types
323,What are the legal and regulatory requirements that face business continuity planners?,"Business leaders must exercise due diligence to ensure that shareholders' interests are protected in the event disaster strikes. Some industries are also subject to federal, state, and local regulations that mandate specific BCP procedures. Many businesses also have contractual obligations to their clients that they must meet before, during, and after a disaster.",3,Business Continuity Planning,D1,Security and Risk Management,HIGH,Ch 3,BCP legal regulatory requirements
324,What are the legal responsibilities of a cybersecurity professional?,"Cybersecurity professionals must be able to analyze a situation and determine what jurisdictions and laws apply. They must be able to identify relevant contractual, legal, regulatory, and industry standards and interpret them for their given situation.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,MEDIUM,Ch 4,"Legal responsibilities, laws compliance"
325,What are the major elements in a disaster recovery program?,"Disaster recovery (DR) programs should take a comprehensive approach to planning and include considerations related to the initial response effort, personnel involved, communication among the team and with internal and external entities, assessment of response efforts and restoration of services. DR programs should also include training and awareness efforts to ensure personnel understand their responsibilities and lessons learned sessions to continuously improve the program.",18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Disaster recovery program elements
326,"What are the major laws that govern privacy of personal information in the United States, the European Union, and Canada?","The United States has a number of privacy laws that affect the government's use of information as well as the use of information by specific industries, such as financial services companies and healthcare organizations that handle sensitive information. The EU has a more comprehensive General Data Protection Regulation that governs the use and exchange of personal information. In Canada, the Personal Information Protection and Electronic Documents Act (PIPEDA) governs the use of personal information.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Privacy laws GDPR PIPEDA
327,What are the models of systems development?,The waterfall model describes a sequential development process that results in the development of a finished product. Developers may step back only one phase in the process if errors are discovered. The spiral model uses several iterations of the waterfall model to produce a number of fully specified and tested prototypes. Agile development models place an emphasis on the needs of the customer and quickly developing new functionality that meets those needs in an iterative fashion.,20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,"Systems development models, SDLC"
328,What are the most common causes of network failure?,Cable failures and misconfigurations,11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,"Network failure causes, cabling"
329,What are the most common threats against communication systems?,"Denial of service, eavesdropping, impersonation, replay, and modification",12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,Threats against communication systems
330,What are the network container names at each OSI model layer?,"The network containers are OSI layers 7–5 protocol data unit (PDU), layer 4 segment (TCP) or a datagram (UDP), layer 3 packet, layer 2 frame, and layer 1 bits.",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,OSI layer network containers PDU
331,What are the optimal environmental levels for rooms containing electronic equipment?,"In addition to power considerations, maintaining the environment involves control over the HVAC mechanisms. Rooms containing primarily computers should be kept at 59 to 89.6 degrees Fahrenheit (15 to 32 degrees Celsius). Humidity in a computer room should be maintained between 20% and 80%. Too much humidity can cause corrosion. Too little humidity causes static electricity.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,"Environmental levels HVAC, physical"
332,What are the parameters of the HITECH data breach notification requirements?,"Under the HITECH Breach Notification Rule, HIPAA‐covered entities that experience a data breach must notify affected individuals of the breach and must also notify both the Secretary of Health and Human Services and the media when the breach affects more than 500 individuals.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,"HITECH breach notification, HIPAA"
333,What are the phases of the IDEAL Model?,"Initiating, Diagnosing, Establishing, Acting, and Learning.",20,Software Development Security,D8,Software Development Security,MEDIUM,Ch 20,"IDEAL Model phases, maturity"
334,What are the possible responses to a risk?,"Acceptance, assignment, deterrence, avoidance, rejection, and mitigation",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Risk responses
335,What are the possible valid responses by upper/senior management to risk?,Reducing risk or risk mitigation; assigning risk or transferring; risk deterrence; risk avoidance; accepting risk,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Risk responses senior management
336,What are the processes that can be applied to used media in order to prepare the media for reuse in various environments?,"Erasing, clearing, and overwriting media that will be used in the same classification environments; purging, sanitizing, and degaussing if media is used in different classification environments",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Media reuse clearing purging degaussing
337,What are the propagation techniques used by viruses?,"Viruses use four main propagation techniques—file infection, service injection, boot sector infection, and macro infection—to penetrate systems and spread their malicious payloads. You need to understand these techniques to effectively protect systems on your network from malicious code.",21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,"Virus propagation techniques, malware"
338,What are the pros and cons of a host‐based IDS?,"It can pinpoint resources compromised by a malicious user. It can't detect network‐only attacks or attacks on other systems, has difficulty detecting DoS attacks, and can be detected by intruders.",17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,Host-based IDS pros cons
339,What are the pros and cons of a network‐based IDS?,It can monitor a large network and can be hardened against attack. It requires a central view of traffic and can't pinpoint compromised resources. High levels of traffic flow require sufficiently capable IDS systems in order for them not to be overloaded.,17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,Network-based IDS pros cons
340,What are the requirements for accountability?,"Identification, authentication, authorization, and auditing",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,"Accountability requirements, AAA"
341,What are the requirements for successful use of a one‐time pad?,"For a one‐time pad to be successful, the key must be generated randomly without any known pattern. The key must be at least as long as the message to be encrypted. The pads must be protected against physical disclosure, and each pad must be used only one time and then discarded.",6,Cryptography and Symmetric Key Algorithms,D3,Security Architecture and Engineering,MEDIUM,Ch 6,"One-time pad requirements, symmetric"
342,"What are the responsibilities of the roles of data custodian, data processor, data administrator, and user?","Data controllers decide what data to process and how to process it. Data processors are often the third‐party entities that process data for an organization at the direction of the data processor. Data administrators grant access to data based on guidelines provided by the data owners. A user, or subject, accesses data while performing work tasks. A custodian has day‐to‐day responsibilities for protecting and storing data.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Data custodian processor roles
343,"What are the responsibilities of the roles of data owner, system owner, and business/mission owner?","The data owner is the person responsible for classifying, labeling, and protecting data. System owners are responsible for the systems that process the data. Business and mission owners own the processes and ensure that the systems provide value to the organization.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Data owner system owner roles
344,What are the results or output exhibited by an object based on processing a message through a method?,Behavior,20,Software Development Security,D8,Software Development Security,MEDIUM,Ch 20,"Object behavior, OOP concept"
345,What are the roles of different coding tools in software development ecosystems?,"Developers write code in different programming languages which is then either compiled into machine language or executed through an interpreter. Developers may make use of software development toolsets and integrated development environments to facilitate the code‐writing process. Software libraries create shared and reusable code, whereas code repositories provide a management platform for the software development process.",20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,"Coding tools, software development"
346,What are the security concerns of a wiring closet?,"A wiring closet is where the networking cables for a whole building or just a floor are connected to other essential equipment, such as patch panels, switches, routers, LAN extenders, and backbone channels. Most of the security for a wiring closet focuses on preventing physical unauthorized access. If an unauthorized intruder gains access to the area, they may be able to steal equipment, pull or cut cables, or even plant a listening device.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,"Wiring closet security, physical"
347,What are the security features of a designed system called under Common Criteria?,Security target,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,"Security target, Common Criteria"
348,What are the security implications of hiring new employees?,"To properly plan for security, you must have standards in place for job descriptions, job classification, work tasks, job responsibilities, prevention of collusion, candidate screening, background checks, security clearances, employment agreements, and nondisclosure agreements. By deploying such mechanisms, you ensure that new hires are aware of the required security standards, thus protecting your organization's assets.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,"Hiring security implications, personnel"
349,What are the security requests of a client called under Common Criteria?,Protection profile,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,"Protection profile, Common Criteria"
350,What are the seven elements of PASTA (Process for Attack Simulation and Threat Analysis)?,"Stage I is Definition the Objectives (DO), Stage II is Definition of the Technical Scope (DTS), Stage III is Application Decomposition and Analysis (ADA), Stage IV is Threat Analysis (TA), Stage V is Weakness and Vulnerability Analysis (WVA), Stage VI is Attack Modeling & Simulation (AMS), and Stage VII is Risk Analysis & Management (RAM).",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,PASTA threat modeling stages
351,What are the six basic SQL commands?,"Select , Update , Delete , Insert , Grant , and Revoke",20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,"SQL commands, databases"
352,What are the six categories of computer crimes?,"Computer crimes are grouped into six categories: military and intelligence attack, business attack, financial attack, terrorist attack, grudge attack, and thrill attack. For the exam, be able to explain the motive of each type of attack.",19,Investigations and Ethics,D7,Security Operations,HIGH,Ch 19,Six categories of computer crimes
353,What are the six flags from the TCP header that we still commonly use and what is their order in the header?,"XXUAPRSF. The X represents two flags no longer used, followed by Urgent, Acknowledgment, Push, Reset, Synchronization, and Finish. You can memorize this flag order using the phrase “Unskilled Attackers Pester Real Security Folk.”",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,"TCP header flags order, transport"
354,What are the six key principles for governance and management of enterprise IT according to COBIT?,"COBIT is based on six key principles for governance and management of enterprise IT: Provide Stakeholder Value, Holistic Approach, Dynamic Governance System, Governance Distinct from Management, Tailored to Enterprise Needs, and End‐to‐End Governance System.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,COBIT governance principles
355,What are the stages of the SW‐CMM?,"The stages of the Software Capability Maturity Model (SW‐CMM) are Initial, Repeatable, Defined, Managed, and Optimizing.",20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,"SW-CMM stages, maturity model"
356,What are the standards‐based form(s) of encryption of 802.11 wireless networks and the cryptography protocols related to WPA2?,WPA2 (AES/CCMP),11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,802.11 WPA2 wireless encryption
357,What are the steps of a patch management program?,"Evaluate, test, apply, and audit patches",16,Managing Security Operations,D7,Security Operations,HIGH,Ch 16,Patch management program steps
358,What are the steps of the business impact analysis process?,"The five stages of the business impact analysis process are the identification of priorities, risk identification, likelihood assessment, impact analysis, and resource prioritization.",3,Business Continuity Planning,D1,Security and Risk Management,HIGH,Ch 3,Business impact analysis steps
359,What are the technologies that may assist with database backup?,"Databases benefit from three backup technologies. Electronic vaulting is used to transfer database backups to a remote site as part of a bulk transfer. In remote journaling, data transfers occur on a more frequent basis. With remote mirroring technology, database transactions are mirrored at the backup site in real time.",18,Disaster Recovery Planning,D7,Security Operations,MEDIUM,Ch 18,"Database backup technologies, recovery"
360,What are the terms of the notification requirements placed on organizations that experience a data breach within the United States?,"California's SB 1386 implemented the first statewide requirement to notify individuals of a breach of their personal information. All other states eventually followed suit with similar laws. Currently, federal law only requires the notification of individuals when a HIPAA‐covered entity breaches their protected health information.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Data breach notification laws
361,What are the three commonly recognized authentication factors?,"Something you know, something you have, and something you are",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,Authentication factors are AAA model
362,What are the three data states and their definitions?,"Data at rest is any data stored on media such as system hard drives, external USB drives, storage area networks (SANs), and backup tapes. Data in transit (sometimes called data in motion) is any data transmitted over a network. This includes data transmitted over an internal network using wired or wireless methods and data transmitted over public networks such as the Internet. Data in use refers to data in temporary storage buffers while an application is using it.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Data states at-rest/in-transit/in-use asset handling
363,What are the three encryption algorithms supported by the Digital Signature Standard?,"RSA, ECDSA, and EdDSA",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Digital signature standard asymmetric algorithms
364,What are the three forms of accreditation offered by National Information Assurance Certification and Accreditation Process (NIACAP)?,"Site, type, system",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,NIACAP certification and accreditation
365,What are the three learning levels of security?,"Awareness, training, and education",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Awareness/training/education security program
366,What are the three main types of physical security controls?,"Administrative physical security controls, technical physical security controls, physical controls for physical security",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Control categories administrative/technical/physical
367,What are the three major characteristics of a functional requirement?,"Inputs, behaviors, and outputs",20,Software Development Security,D8,Software Development Security,MEDIUM,Ch 20,Functional requirement in development controls
368,What are the three major evidence admissibility requirements?,"Evidence must be relevant, material, and competent.",19,Investigations and Ethics,D7,Security Operations,HIGH,Ch 19,Evidence admissibility requirements
369,What are the three major options for alternative processing sites?,"Hot sites, warm sites, and cold sites",18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Hot/warm/cold alternative processing sites
370,What are the three major public key cryptosystems?,"RSA is the most famous public key cryptosystem; it was developed by Rivest, Shamir, and Adleman in 1977. It depends on the difficulty of factoring the product of prime numbers. ElGamal is an extension of the Diffie–Hellman key exchange algorithm that depends on modular arithmetic. The elliptic curve algorithm depends on the elliptic curve discrete logarithm problem and provides more security than other algorithms when both are used with keys of the same length.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,RSA/ElGamal/ECC public key cryptosystems
371,What are the three major types of filesystem backups?,"Full backups, incremental backups, and differential backups",18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Full/incremental/differential backups
372,What are the three phases of the three‐way handshake used by TCP/IP?,"SYN, SYN/ACK, ACK",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,TCP three-way handshake protocol
373,What are the three requirements for acceptance of a patent application?,"The invention must be new, useful, and nonobvious.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Patent requirements intellectual property
374,What are the three types of plans employed in security management planning?,A strategic plan is a long‐term plan that is fairly stable. The tactical plan is a midterm plan that provides more details. Operational plans are short term and highly detailed.,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,MEDIUM,Ch 1,Strategic/tactical/operational security management planning
375,What are the two DHCPv6 modes of operation?,"In stateful mode, DHCPv6 assigns specific IPv6 addresses to devices and manages the allocation of network configuration parameters. In stateless mode, DHCPv6 provides network configuration parameters without assigning specific IPv6 addresses. Devices may use Stateless Address Autoconfiguration (SLAAC) to generate their own addresses.",11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,DHCPv6 IP networking modes
376,What are the two goals of SD3+C?,"To reduce the number of security‐related design and coding defects, and to reduce the severity of any remaining defects",20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,SD3+C secure development goals
377,What are the two main forms of DoS?,"The first form exploits a vulnerability in hardware or software. This exploitation of a weakness, error, or standard feature of software to cause a system to hang, freeze, consume all system resources, and so on. The end result is that the victimized computer is unable to process any legitimate tasks. The second form floods the victim's communication pipeline with garbage network traffic. This is sometimes called a traffic generation or flooding attack.",12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,DoS forms network attack
378,"What are the two modes available through IPSec, and what do they do?","In transport mode, the IP packet data is encrypted, but the header is not. In tunnel mode, the entire IP packet is encrypted, and a new header is added to govern transmission through the tunnel.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,MEDIUM,Ch 7,IPSec transport/tunnel modes applied crypto
379,What are the two requirements for acceptance of a trademark application?,"The trademark must not be confusingly similar to another trademark, and it must not be descriptive.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Trademark application requirements
380,What are the types and purposes of NDAs?,"A unilateral NDA (aka one‐way NDA) is used when one party needs to share sensitive data with another party while retaining control and protection over that data. A bilateral NDA (aka mutual NDA or two‐way NDA) is a legally binding contract between two parties where both parties agree to protect each other's confidential information. A multilateral NDA is a legal contract involving three or more parties, each of whom agrees to protect and keep confidential the sensitive information shared by the other parties.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,NDA types personnel security
381,What are the types of noise or interference and their sources?,Common mode noise is generated by the difference in power between the hot and ground wires. Traverse mode noise is generated by the difference in power between the hot and neutral wires.,10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,Common/traverse mode noise power
382,What are the typical HVAC requirements for a computer room?,A computer room should be kept at 59 to 89.6 degrees Fahrenheit (15 to 32 degrees Celsius). Humidity in a computer room should be maintained at between 20 and 80 percent.,10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,HVAC requirements computer room
383,What are the typical security capabilities of information systems?,"Memory protection, virtualization, Trusted Platform Module (TPM), encryption/decryption, interfaces, and fault tolerance",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Security capabilities of information systems
384,What are the typical stages of the information system life cycle?,"Stakeholders' Needs and Requirements, Requirements Analysis, Architectural Design, Development/Implementation, Integration, Verification and Validation, Transition/Deployment, Operations and Maintenance/Sustainment, and Retirement/Disposal",20,Software Development Security,D8,Software Development Security,MEDIUM,Ch 20,System development lifecycle stages
385,What are the typical steps in incident response?,"The CISSP Security Operations domain lists incident management steps as detection, response, mitigation, reporting, recovery, remediation, and lessons learned.",17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,Incident response steps
386,What are the valid key sizes for RC5?,"0 to 2,048 bits",6,Cryptography and Symmetric Key Algorithms,D3,Security Architecture and Engineering,HIGH,Ch 6,RC5 symmetric key sizes
387,What are the variations of storage types?,"Primary versus secondary, volatile versus nonvolatile, and random versus sequential",20,Software Development Security,D8,Software Development Security,MEDIUM,Ch 20,Storage types primary/secondary volatile
388,What are the various types and purposes of network segmentation?,"Network segmentation can be used to manage traffic, improve performance, and enforce security. Examples of network segments or subnetworks include intranet, extranet, and screened subnet.",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,Network segmentation types intranet/extranet
389,What are the various types of application attacks attackers use to exploit poorly written software?,"Application attacks are one of the greatest threats to modern computing. Attackers exploit buffer overflows, backdoors, time‐of‐check‐to‐time‐of‐use vulnerabilities, and rootkits to gain illegitimate access to a system. Security professionals must have a clear understanding of each of these attacks and associated countermeasures.",21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,Application attacks buffer overflow/TOCTOU/rootkits
390,What are the various types of evidence that may be used in a criminal or civil trial?,Real evidence consists of actual objects that can be brought into the courtroom. Documentary evidence consists of written documents that provide insight into the facts. Testimonial evidence consists of verbal or written statements made by witnesses.,19,Investigations and Ethics,D7,Security Operations,HIGH,Ch 19,Evidence types real/documentary/testimonial
